Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Fugen,1,HWLWR,ATR,Shut down,148,10 May 1972,20 Mar 1979,29 Mar 2003
Fukushima Daiichi,1,BWR,BWR-3,Inoperable/Core melt,439,25 Jul 1967,26 Mar 1971,19 May 2011
Fukushima Daiichi,2,BWR,BWR-4,Inoperable/Core melt,760,9 Jun 1969,18 Jul 1974,19 May 2011
Fukushima Daiichi,3,BWR,BWR-4,Inoperable/Core melt,760,28 Dec 1970,27 Mar 1976,19 May 2011
Fukushima Daiichi,4,BWR,BWR-4,Inoperable,760,12 Feb 1973,12 Oct 1978,19 May 2011
Fukushima Daiichi,5,BWR,BWR-4,Shut down,760,22 May 1972,18 Apr 1978,17 Dec 2013
Fukushima Daiichi,6,BWR,BWR-5,Shut down,1067,26 Oct 1973,24 Oct 1979,17 Dec 2013
Fukushima Daini,1,BWR,BWR-5,Shut down,1067,16 Mar 1976,20 Apr 1982,30 Sep 2019
Fukushima Daini,2,BWR,BWR-5,Shut down,1067,25 May 1979,3 Feb 1984,30 Sep 2019
Fukushima Daini,3,BWR,BWR-5,Shut down,1067,23 Mar 1981,21 Jun 1985,30 Sep 2019
Fukushima Daini,4,BWR,BWR-5,Shut down,1067,28 May 1981,25 Aug 1987,30 Sep 2019
Genkai,1,PWR,Mitsubishi (2-loop),Shut down,529,15 Sep 1971,15 Oct 1975,27 Apr 2015
Genkai,2,PWR,Mitsubishi (2-loop),Shut down,529,1 Feb 1977,30 Mar 1981,9 Apr 2019
Genkai,3,PWR,Mitsubishi (4-loop),Operational,1127,1 Jun 1988,18 Mar 1994,
Genkai,4,PWR,Mitsubishi (4-loop),Operational[76],1127,15 Jul 1992,25 Jul 1997,
Hamaoka,1,BWR,BWR-4,Shut down,515,10 Jun 1971,17 Mar 1976,30 Jan 2009
Hamaoka,2,BWR,BWR-4,Shut down,806,14 Jun 1974,29 Nov 1978,30 Jan 2009
Hamaoka,3,BWR,BWR-5,Operation suspended (under review)[77],1056,18 Apr 1983,28 Aug 1987,
Hamaoka,4,BWR,BWR-5,Operation suspended (under review)[77],1092,13 Oct 1989,3 Sep 1993,
Hamaoka,5,BWR,ABWR,Operation suspended,1325,12 Jul 2000,18 Jan 2005,
Higashidōri (Tōhoku),1,BWR,BWR-5,Operation suspended (under review)[77],1067,7 Nov 2000,8 Dec 2005,
Higashidōri (Tokyo),1,BWR,ABWR,Unfinished; restart planned,1350,25 Jan 2011[78],,
Ikata,1,PWR,Mitsubishi (2-loop),Shut down,538,1 Sep 1973,30 Sep 1977,25 Mar 2016
Ikata,2,PWR,Mitsubishi (2-loop),Shut down,538,1 Aug 1978,19 Mar 1982,27 Mar 2018
Ikata,3,PWR,Mitsubishi (3-loop),Operational,846,1 Oct 1990,15 Dec 1994,
Kashiwazaki-Kariwa,1,BWR,BWR-5,Operation suspended,1067,5 Jun 1980,18 Sep 1985,
Kashiwazaki-Kariwa,2,BWR,BWR-5,Operation suspended,1067,18 Nov 1985,28 Sep 1990,
Kashiwazaki-Kariwa,3,BWR,BWR-5,Operation suspended,1067,7 Mar 1989,11 Aug 1993,
Kashiwazaki-Kariwa,4,BWR,BWR-5,Operation suspended,1067,5 Mar 1990,11 Aug 1994,
Kashiwazaki-Kariwa,5,BWR,BWR-5,Operation suspended,1067,20 Jun 1985,10 Apr 1990,
Kashiwazaki-Kariwa,6,BWR,ABWR,Operation suspended (restart approved)[79],1315,3 Nov 1992,7 Nov 1996,
Kashiwazaki-Kariwa,7,BWR,ABWR,Operation suspended (restart approved)[79],1315,1 Jul 1993,2 Jul 1997,
Mihama,1,PWR,Mitsubishi (2-loop),Shut down,320,1 Feb 1967,28 Nov 1970,Mar 2015
Mihama,2,PWR,Mitsubishi (2-loop),Shut down,470,29 May 1968,25 Jul 1972,Mar 2015
Mihama,3,PWR,Mitsubishi (3-loop),Operational[80],780,7 Aug 1972,1 Dec 1976,
Monju,1,FBR,,Shut down,246,10 May 1986,29 Aug 1995,5 Dec 2017
Ōi,1,PWR,W (4-loop),Shut down,1120,26 Oct 1972,27 Mar 1979,Dec 2017
Ōi,2,PWR,Westinghouse (4-loop),Shut down,1120,8 Dec 1972,5 Dec 1979,Dec 2017
Ōi,3,PWR,Mitsubishi (4-loop),Operational,1127,3 Oct 1987,18 Dec 1991,
Ōi,4,PWR,Mitsubishi (4-loop),Operational[81],1127,13 Jun 1988,2 Feb 1993,
Ōma,1,BWR,ABWR,Under construction,1325,7 May 2010,,
Onagawa,1,BWR,BWR-4,Shut down,498,8 Jul 1980,1 Jun 1984,21 Dec 2018
Onagawa,2,BWR,BWR-5,Operational[82],796,12 Apr 1991,28 Jul 1995,
Onagawa,3,BWR,BWR-5,Operation suspended,796,23 Jan 1998,30 Jan 2002,
Sendai,1,PWR,Mitsubishi (3-loop),Operational,846,15 Dec 1979,4 Jul 1984,
Sendai,2,PWR,Mitsubishi (3-loop),Operational,846,12 Oct 1981,28 Nov 1985,
Shika,1,BWR,BWR-5,Operation suspended,505,1 Jul 1989,30 Jul 1993,
Shika,2,BWR,ABWR,Operation suspended (under review)[77],1108,20 Aug 2001,15 Mar 2006,
Shimane,1,BWR,BWR-3,Shut down,439,2 Jul 1970,29 Mar 1974,Mar 2015
Shimane,2,BWR,BWR-5,Operational,789,2 Feb 1985,10 Feb 1989,
Shimane,3,BWR,ABWR,Under construction,1325,12 Oct 2007,,
Takahama,1,PWR,Mitsubishi (3-loop),Operational[83],780,25 Apr 1970,14 Nov 1974,
Takahama,2,PWR,Mitsubishi (3-loop),Operational[84],780,9 Mar 1971,14 Nov 1975,
Takahama,3,PWR,Mitsubishi (3-loop),Operational,830,12 Dec 1980,17 Jan 1985,
Takahama,4,PWR,Mitsubishi (3-loop),Operational,830,19 Mar 1981,5 Jun 1985,
Tōkai,1,GCR,Magnox,Shut down,137,1 Mar 1961,25 Jul 1966,31 Mar 1998
Tōkai,2,BWR,BWR-5,Operation suspended (restart approved)[85],1060,3 Oct 1973,28 Nov 1978,
Tomari,1,PWR,Mitsubishi (2-loop),Operation suspended (under review)[77],550,18 Apr 1985,22 Jun 1989,
Tomari,2,PWR,Mitsubishi (2-loop),Operation suspended (under review)[77],550,13 Jun 1985,12 Apr 1991,
Tomari,3,PWR,Mitsubishi (3-loop),Operation suspended (restart approved)[86],866,18 Nov 2004,22 Dec 2009,
Tsuruga,1,BWR,BWR-2,Shut down,340,24 Nov 1966,14 Mar 1970,Mar 2015
