Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Arkansas Nuclear One,1,PWR,B & W (DRY-Cont),Operational,836,1 Oct 1968,21 May 1974,
Arkansas Nuclear One,2,PWR,CE (DRY),Operational,988,6 Dec 1968,1 Sep 1978,
Beaver Valley,1,PWR,WH 3-loop (DRY),Operational,908,26 Jun 1970,2 Jul 1976,
Beaver Valley,2,PWR,WH 3-loop (DRY),Operational,905,3 May 1974,14 Aug 1987,
Big Rock Point,1,BWR,BWR-1,Dismantled,67,1 May 1960,29 Mar 1963,29 Aug 1997
Braidwood,1,PWR,WH 4-loop (DRY),Operational,1194,1 Aug 1975,29 Jul 1988,
Braidwood,2,PWR,WH 4-loop (DRY),Operational,1160,1 Aug 1975,17 Oct 1988,
Browns Ferry,1,BWR,BWR-4 (WET),Operational,1200,1 May 1967,1 Aug 1974,
Browns Ferry,2,BWR,BWR-4 (WET),Operational,1200,1 May 1967,1 Mar 1975,
Browns Ferry,3,BWR,BWR-4 (WET),Operational,1210,1 Jul 1968,1 Mar 1977,
Brunswick,1,BWR,BWR-4 (WET),Operational,938,7 Feb 1970,18 Mar 1977,
Brunswick,2,BWR,BWR-4 (WET),Operational,932,7 Feb 1970,3 Nov 1975,
Byron,1,PWR,WH 4-loop (DRY),Operational,1164,1 Apr 1975,16 Sep 1985,
Byron,2,PWR,WH 4-loop (DRY),Operational,1136,1 Apr 1975,2 Aug 1987,
Callaway,1,PWR,WH 4-loop (DRY),Operational,1215,1 Sep 1975,19 Dec 1984,
Calvert Cliffs,1,PWR,CE 2-loop (DRY),Operational,877,1 Jun 1968,8 May 1977,
Calvert Cliffs,2,PWR,CE 2-loop (DRY),Operational,855,1 Jun 1968,1 Apr 1977,
Carbon Free Power Project,1,PWR,VOYGR,Cancelled,77,,,
Carbon Free Power Project,2,PWR,VOYGR,Cancelled,77,,,
Carbon Free Power Project,3,PWR,VOYGR,Cancelled,77,,,
Carbon Free Power Project,4,PWR,VOYGR,Cancelled,77,,,
Carbon Free Power Project,5,PWR,VOYGR,Cancelled,77,,,
Carbon Free Power Project,6,PWR,VOYGR,Cancelled,77,,,
Catawba,1,PWR,WH 4-loop (ICECOND),Operational,1160,1 May 1974,29 Jun 1985,
Catawba,2,PWR,WH 4-loop (ICECOND),Operational,1150,1 May 1974,19 Aug 1986,
Clinch River,1,BWR,BWRX-300,Planned,300,,,
Clinton,1,BWR,BWR-6 (WET),Operational,1062,1 Oct 1975,24 Nov 1987,
Columbia,1,BWR,BWR-5 (WET),Operational,1131,1 Aug 1972,13 Dec 1984,
Comanche Peak,1,PWR,WH 4-loop (DRY),Operational,1205,19 Dec 1974,13 Aug 1990,
Comanche Peak,2,PWR,WH 4-loop (DRY),Operational,1195,19 Dec 1974,3 Aug 1993,
Connecticut Yankee,1,PWR,WH (DRY),Dismantled,582,1 May 1964,1 Jan 1968,5 Dec 1996
Cooper,1,BWR,BWR-4 (WET),Operational,769,1 Jun 1968,1 Jul 1974,
Crystal River 3,1,PWR,B & W (DRY),Shut down/in decommissioning,860,25 Sep 1968,13 Mar 1977,5 Feb 2013
Davis–Besse,1,PWR,B & W (DRY),Operational,894,1 Sep 1970,31 Jul 1978,
Diablo Canyon,1,PWR,WH 4-Loop (DRY),Operational,1138,23 Apr 1968,7 May 1985,
Diablo Canyon,2,PWR,WH 4-Loop (DRY),Operational,1118,9 Dec 1970,13 Mar 1986,
Donald C. Cook,1,PWR,WH 4-Loop (ICECOND),Operational,1020,25 Mar 1969,27 Aug 1975,
Donald C. Cook,2,PWR,WH 4-Loop (ICECOND),Operational,1090,25 Mar 1969,1 Jul 1978,
Dresden,1,BWR,BWR-1,Shut down,197,1 May 1956,4 Jul 1960,31 Oct 1978
Dresden,2,BWR,BWR-3 (WET),Operational,894,10 Jan 1966,9 Jun 1970,
Dresden,3,BWR,BWR-3 (WET),Operational,879,14 Oct 1966,16 Nov 1971,
Duane Arnold,1,BWR,BWR-4 (WET),Restart Planned,601,22 May 1970,1 Feb 1975,10 Aug 2020
Edwin I. Hatch,1,BWR,BWR-4 (WET),Operational,924,30 Sep 1968,31 Dec 1975,
Edwin I. Hatch,2,BWR,BWR-4 (WET),Operational,924,1 Feb 1972,5 Sep 1979,
Elk River,1,BWR,,Dismantled,22,1 Jan 1959,1 Jul 1964,1 Feb 1968
Fermi,1,FBR,Prototype,Shut down,61,8 Aug 1956,7 Aug 1966,29 Nov 1972
Fermi,2,BWR,BWR-4 (WET),Operational,1115,26 Sep 1972,23 Jan 1988,
Fort Calhoun,1,PWR,CE 2-loop (WET),Shut down,482,7 Jun 1968,9 Aug 1973,24 Oct 2016
Fort St. Vrain,1,HTGR,General Atomics,Shut down,330,1 Sep 1968,1 Jul 1979,29 Aug 1989
Ginna,1,PWR,WH 2-loop (DRY),Operational,560,25 Apr 1966,1 Jun 1970,
Grand Gulf,1,BWR,BWR-6 (WET),Operational,1401,4 May 1974,1 Jul 1985,
H. B. Robinson,1,PWR,WH 3-loop (DRY),Operational,735,13 Apr 1967,7 Mar 1971,
Hallam,1,SGR,Atomics International,Dismantled,75,1 Jan 1959,1 Nov 1963,1 Sep 1969
Hartsville,A1,BWR,BWR-6,Unfinished,1285,23 May 1975,,29 Aug 1984
Hartsville,A2,BWR,BWR-6,Unfinished,1285,23 May 1975,,29 Aug 1984
Hartsville,B1,BWR,BWR-6,Unfinished,1285,23 May 1975,,22 Mar 1983
Hartsville,B2,BWR,BWR-6,Unfinished,1285,23 May 1975,,22 Mar 1983
Hope Creek,1,BWR,BWR-4 (WET),Operational,1172,1 Mar 1976,20 Dec 1986,
Humboldt Bay,1,BWR,BWR-1,Dismantled,63,1 Nov 1960,1 Aug 1963,2 Jul 1976
Indian Point,1,PWR,,Shut down,257,1 May 1956,1 Oct 1962,31 Oct 1974
Indian Point,2,PWR,WH 4-loop (DRY),Shut down,998,14 Oct 1966,1 Aug 1974,30 Apr 2020
Indian Point,3,PWR,WH 4-loop (DRY),Shut down,1030,1 Nov 1968,30 Aug 1976,30 Apr 2021
James A. FitzPatrick,1,BWR,BWR-4 (WET),Operational,813,1 Sep 1968,28 Jul 1975,
Joseph M. Farley,1,PWR,WH 3-Loop (DRY),Operational,874,1 Oct 1970,1 Dec 1977,
Joseph M. Farley,2,PWR,WH 3-Loop (DRY),Operational,883,1 Oct 1970,30 Jul 1981,
Kemmerer,1,SFR,Natrium,Under construction,345,10 Jun 2024,,
Kewaunee,1,PWR,WH 2-loop (DRY),Shut down,566,6 Aug 1968,16 Jun 1974,7 May 2013
La Crosse,1,BWR,BWR-1,Dismantled,48,1 Mar 1963,7 Nov 1969,30 Apr 1987
LaSalle County,1,BWR,BWR-5 (WET),Operational,1137,10 Sep 1973,1 Jan 1984,
LaSalle County,2,BWR,BWR-5 (WET),Operational,1140,10 Sep 1973,19 Oct 1984,
Limerick,1,BWR,BWR-5 (WET),Operational,1134,19 Jun 1974,1 Feb 1986,
Limerick,2,BWR,BWR-5 (WET),Operational,1134,19 Jun 1974,8 Jan 1990,
Long Mott,1,HTGR,Xe-100,Planned,80,,,
Long Mott,2,HTGR,Xe-100,Planned,80,,,
Long Mott,3,HTGR,Xe-100,Planned,80,,,
Long Mott,4,HTGR,Xe-100,Planned,80,,,
Maine Yankee,1,PWR,WH (DRY),Dismantled,860,1 Oct 1968,28 Dec 1972,1 Aug 1997
Marble Hill,1,PWR,WH (DRY),Unfinished,1130,1 Aug 1977,,10 Jan 1984
McGuire,1,PWR,WH 4-Loop (ICECOND),Operational,1158,1 Apr 1971,1 Dec 1981,
McGuire,2,PWR,WH 4-Loop (ICECOND),Operational,1158,1 Apr 1971,1 Mar 1984,
Millstone,1,BWR,BWR-3 (WET),Shut down,641,1 May 1966,28 Dec 1970,21 Jul 1998
Millstone,2,PWR,CE 2-loop (DRY),Operational,869,1 Nov 1969,26 Dec 1975,
Millstone,3,PWR,WH 4-Loop (DRY),Operational,1210,9 Aug 1974,23 Apr 1986,
Monticello,1,BWR,BWR-3 (WET),Operational,628,19 Jun 1967,30 Jun 1971,
Nine Mile Point,1,BWR,BWR-2 (WET),Operational,613,12 Apr 1965,1 Dec 1969,
Nine Mile Point,2,BWR,BWR-5 (WET),Operational,1277,1 Aug 1975,11 Mar 1988,
North Anna,1,PWR,WH 3-Loop (DRY),Operational,948,19 Feb 1971,6 Jun 1978,
North Anna,2,PWR,WH 3-Loop (DRY),Operational,944,19 Feb 1971,14 Dec 1980,
Oconee,1,PWR,B & W (DRY),Operational,847,6 Nov 1967,15 Jul 1973,
Oconee,2,PWR,B & W (DRY),Operational,848,6 Nov 1967,9 Sep 1974,
Oconee,3,PWR,B & W (DRY),Operational,859,6 Nov 1967,16 Dec 1974,
Oyster Creek,1,BWR,BWR-2 (WET),Shut down,619,15 Dec 1964,23 Dec 1969,17 Sep 2018
Palisades,1,PWR,CE 2-loop (DRY),Restart Planned,805,14 Mar 1967,31 Dec 1971,20 May 2022
Palisades,2,PWR,SMR-300,Planned,340,,,
Palisades,3,PWR,SMR-300,Planned,340,,,
Palo Verde,1,PWR,CE80 2-loop (DRY),Operational,1311,25 May 1976,28 Jan 1986,
Palo Verde,2,PWR,CE80 2-loop (DRY),Operational,1314,1 Jun 1976,19 Sep 1986,
Palo Verde,3,PWR,CE80 2-loop (DRY),Operational,1312,1 Jun 1976,8 Jan 1988,
Parr,1,PHWR,CVTR,Dismantled,17,1 Jan 1960,18 Dec 1963,10 Jan 1967
Pathfinder,1,BWR,BWR-1,Dismantled,59,1 Jan 1959,1 Aug 1966,1 Oct 1967
Peach Bottom,1,GCR,Prototype,Shut down,40,1 Feb 1962,1 Jun 1966,1 Nov 1974
Peach Bottom,2,BWR,BWR-4 (WET),Operational,1300,31 Jan 1968,5 Jul 1974,
Peach Bottom,3,BWR,BWR-4 (WET),Operational,1331,31 Jan 1968,23 Dec 1974,
Perry,1,BWR,BWR-6 (WET),Operational,1240,1 Oct 1974,18 Nov 1987,
Phipps Bend,1,BWR,BWR-6,Unfinished,1233,10 Nov 1977,,6 Aug 1981
Phipps Bend,2,BWR,BWR-6,Unfinished,1233,10 Nov 1977,,6 Aug 1981
Pilgrim,1,BWR,BWR-3 (WET),Shut down,677,26 Aug 1968,9 Dec 1972,31 May 2019
Piqua,1,OCR,Atomics International,Decommissioned,12,1 Jan 1960,1 Nov 1963,1 Jan 1966
Point Beach,1,PWR,WH 2-loop (DRY),Operational,591,19 Jul 1967,21 Dec 1970,
Point Beach,2,PWR,WH 2-loop (DRY),Operational,591,25 Jul 1968,1 Oct 1972,
Prairie Island,1,PWR,WH 2-loop (DRY),Operational,522,25 Jun 1968,16 Dec 1973,
Prairie Island,2,PWR,WH 2-loop (DRY),Operational,519,25 Jun 1969,21 Dec 1974,
Quad Cities,1,BWR,BWR-4 (WET),Operational,908,15 Feb 1967,18 Feb 1973,
Quad Cities,2,BWR,BWR-4 (WET),Operational,911,15 Feb 1967,10 Mar 1973,
Rancho Seco,1,PWR,WH (DRY),Decommissioned,873,1 Apr 1969,17 Apr 1975,23 Jun 1989
River Bend,1,BWR,BWR-6 (WET),Operational,967,25 Mar 1977,16 Jun 1986,
Salem,1,PWR,WH 4-loop (DRY),Operational,1169,25 Sep 1968,30 Jun 1977,
Salem,2,PWR,WH 4-loop (DRY),Operational,1158,25 Sep 1968,31 Oct 1981,
