Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Belleville,1,PWR,P4 REP 1300,Operational,1310,1 May 1980,1 Jun 1988,
Belleville,2,PWR,P4 REP 1300,Operational,1310,1 Aug 1980,1 Jan 1989,
Blayais,1,PWR,CP1,Operational,910,1 Jan 1977,1 Dec 1981,
Blayais,2,PWR,CP1,Operational,910,1 Jan 1977,1 Feb 1983,
Blayais,3,PWR,CP1,Operational,910,1 Apr 1978,14 Nov 1983,
Blayais,4,PWR,CP1,Operational,910,1 Apr 1978,1 Oct 1983,
Brennilis,1,HWGCR,,Shut down/in decommissioning,70,1 Jul 1962,1 Jun 1968,31 Jul 1985
Bugey,1,GCR,UNGG,Shut down,540,1 Dec 1965,1 Jul 1972,27 May 1994
Bugey,2,PWR,CP0,Operational,910,1 Nov 1972,1 Mar 1979,
Bugey,3,PWR,CP0,Operational,910,1 Sep 1973,1 Mar 1979,
Bugey,4,PWR,CP0,Operational,880,1 Jun 1974,1 Jul 1979,
Bugey,5,PWR,CP0,Operational,880,1 Jul 1974,3 Jan 1980,
Bugey,6,PWR,EPR2,Planned,1670,,,
Bugey,7,PWR,EPR2,Planned,1670,,,
Cattenom,1,PWR,P4 REP 1300,Operational,1300,29 Oct 1979,1 Apr 1987,
Cattenom,2,PWR,P4 REP 1300,Operational,1300,28 Jul 1980,1 Feb 1988,
Cattenom,3,PWR,P4 REP 1300,Operational,1300,15 Jun 1982,1 Feb 1991,
Cattenom,4,PWR,P4 REP 1300,Operational,1300,28 Sep 1983,1 Jan 1992,
Chinon,A-1,GCR,UNGG,Shut down,70,1 Feb 1957,1 Feb 1964,16 Apr 1973
Chinon,A-2,GCR,UNGG,Shut down,180,1 Aug 1959,24 Feb 1965,14 Jun 1985
Chinon,A-3,GCR,UNGG,Shut down,360,1 Mar 1961,4 Aug 1966,15 Jun 1990
Chinon,B-1,PWR,CP2,Operational,905,1 Mar 1977,1 Feb 1984,
Chinon,B-2,PWR,CP2,Operational,905,1 Mar 1977,1 Aug 1984,
Chinon,B-3,PWR,CP2,Operational,905,1 Oct 1980,4 Mar 1987,
Chinon,B-4,PWR,CP2,Operational,905,1 Feb 1981,1 Apr 1988,
Chooz,A-1,PWR,CHOOZ-A,Decommissioned,305,1 Jan 1962,15 Apr 1967,30 Oct 1991
Chooz,B-1,PWR,N4 REP 1450,Operational,1500,1 Jan 1984,15 May 2000,
Chooz,B-2,PWR,N4 REP 1450,Operational,1500,1 Jan 1984,15 May 2000,
Civaux,1,PWR,N4 REP 1450,Operational,1495,15 Oct 1988,29 Jan 2002,
Civaux,2,PWR,N4 REP 1450,Operational,1495,1 Apr 1991,23 Apr 2002,
Cruas,1,PWR,CP2,Operational,915,1 Aug 1978,2 Apr 1984,
