Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Chutka,1,PHWR,IPHWR-700,Planned,630,,,
Chutka,2,PHWR,IPHWR-700,Planned,630,,,
Gorakhpur,1,PHWR,IPHWR-700,Under construction,630,2022,(2028),
Gorakhpur,2,PHWR,IPHWR-700,Under construction,630,2022,(2029),
Gorakhpur,3,PHWR,IPHWR-700,Planned,630,,,
Gorakhpur,4,PHWR,IPHWR-700,Planned,630,,,
Kaiga,1,PHWR,IPHWR-220,Operational,202,1 Sep 1989,16 Nov 2000,
Kaiga,2,PHWR,IPHWR-220,Operational,202,1 Dec 1989,16 Mar 2000,
Kaiga,3,PHWR,IPHWR-220,Operational,202,30 Mar 2002,6 May 2007,
Kaiga,4,PHWR,IPHWR-220,Operational,202,10 May 2002,20 Jan 2011,
Kaiga,5,PHWR,IPHWR-700,Planned,630,,,
Kaiga,6,PHWR,IPHWR-700,Planned,630,,,
Kakrapar,1,PHWR,IPHWR-220,Operational,202,1 Dec 1984,6 May 1993,
Kakrapar,2,PHWR,IPHWR-220,Operational,202,1 Apr 1985,1 Sep 1995,
Kakrapar,3,PHWR,IPHWR-700,Operational,630,22 Nov 2010,30 Jun 2023,
Kakrapar,4,PHWR,IPHWR-700,Operational,630,22 Nov 2010,31 Mar 2024,
Kudankulam,1,PWR,VVER-1000/V-412,Operational,932,31 Mar 2002,31 Dec 2014,
Kudankulam,2,PWR,VVER-1000/V-412,Operational,932,4 Jul 2002,31 Mar 2017,
Kudankulam,3,PWR,VVER-1000/V-412,Under construction,917,30 Jun 2017,(2026),
Kudankulam,4,PWR,VVER-1000/V-412,Under construction,917,23 Oct 2017,(2027),
Kudankulam,5,PWR,VVER-1000/V-412,Under construction,917,29 Jun 2021,(2029),
Kudankulam,6,PWR,VVER-1000/V-412,Under construction,917,20 Dec 2021,(2030),
Madras,1,PHWR,IPHWR-220,Operation suspended (under maintenance),205,1 Jan 1971,27 Jan 1984,
Madras,2,PHWR,IPHWR-220,Operational,205,1 Oct 1972,21 Mar 1986,
Madras,3,SFR,PFBR,Under construction,490,23 Oct 2004,(2026),
Mahi Banswara,1,PHWR,IPHWR-700,Planned,630,,(2031),
Mahi Banswara,2,PHWR,IPHWR-700,Planned,630,,(2032),
Mahi Banswara,3,PHWR,IPHWR-700,Planned,630,,(2033),
Mahi Banswara,4,PHWR,IPHWR-700,Planned,630,,(2034),
Narora,1,PHWR,IPHWR-220,Operational,202,1 Dec 1976,1 Jan 1991,
Narora,2,PHWR,IPHWR-220,Operational,202,1 Nov 1977,1 Jul 1992,
Rajasthan,1,PHWR,CANDU,Shut down,90,1 Aug 1965,16 Dec 1973,9 Oct 2004[75]
Rajasthan,2,PHWR,CANDU,Operational,187,1 Apr 1968,1 Apr 1981,
Rajasthan,3,PHWR,IPHWR-220,Operational,202,1 Feb 1990,1 Jun 2000,
Rajasthan,4,PHWR,IPHWR-220,Operational,202,1 Oct 1990,23 Dec 2000,
Rajasthan,5,PHWR,IPHWR-220,Operational,202,18 Sep 2002,4 Feb 2010,
Rajasthan,6,PHWR,IPHWR-220,Operational,202,20 Jan 2003,31 Mar 2010,
Rajasthan,7,PHWR,IPHWR-700,Operational,630,18 Jul 2011,15 Apr 2025,
Rajasthan,8,PHWR,IPHWR-700,Under construction,630,30 Sep 2011,(2026),
Tarapur,1,BWR,BWR-1 (Mark 2),Operation suspended (under maintenance),150,1 Oct 1964,28 Oct 1969,
Tarapur,2,BWR,BWR-1 (Mark 2),Operation suspended (under maintenance),150,1 Oct 1964,28 Oct 1969,
Tarapur,3,PHWR,IPHWR-540,Operational,490,12 May 2000,18 Aug 2006,
Tarapur,4,PHWR,IPHWR-540,Operational,490,8 Mar 2000,12 Sep 2005,
