Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Żarnowiec,1,PWR,VVER-440,Unfinished,440,31 Mar 1982,,4 Sep 1990
Żarnowiec,2,PWR,VVER-440,Unfinished,440,31 Mar 1982,,4 Sep 1990
Choczewo[90],1,PWR,AP1000,Planned,1250[91],(2026),(2033)[90],
Choczewo[90],2,PWR,AP1000,Planned,1250,,(2035–2036)[90],
Choczewo[90],3,PWR,AP1000,Planned,1250,,(2037–2039)[90],
Pątnów[92],1,PWR,APR-1400,Planned,1340,,,
Pątnów[92],2,PWR,APR-1400,Planned,1340,,,
Włocławek,1,BWR,BWRX-300,Planned,300,,(2030)[93],
Ostrołęka,1,BWR,BWRX-300,Planned,300,,(2030)[93],
Warsaw,1,BWR,BWRX-300,Planned,300,,(2030)[93],
Tarnobrzeg/Stalowa Wola,1,BWR,BWRX-300,Planned,300,,(2030)[93],
Dąbrowa Górnicza,1,BWR,BWRX-300,Planned,300,,(2030)[93],
Stawy Monowskie,1,BWR,BWRX-300,Planned,300,,(2030)[93],
Kraków,1,BWR,BWRX-300,Planned,300,,(2030)[93],
