Plant name,Unit No.,Type,Model,Status,Capacity (MW),Begin building,Commercial operation,Closed
Akademik Lomonosov,1,PWR,KLT-40S,Operational,32,15 Apr 2007,19 Dec 2019,
Akademik Lomonosov,2,PWR,KLT-40S,Operational,32,15 Apr 2007,19 Dec 2019,
Balakovo,1,PWR,VVER-1000/V-320,Operational,950,1 Dec 1980,23 May 1986,
Balakovo,2,PWR,VVER-1000/V-320,Operational,950,1 Aug 1981,18 Jan 1988,
Balakovo,3,PWR,VVER-1000/V-320,Operational,950,1 Nov 1982,8 Apr 1989,
Balakovo,4,PWR,VVER-1000/V-320,Operational,950,1 Apr 1984,22 Dec 1993,
Beloyarsk,1,LWGR,AMB-100,Shut down,102,1 Jun 1958,26 Apr 1964,1 Jan 1983
Beloyarsk,2,LWGR,AMB-200,Shut down,146,1 Jan 1962,1 Dec 1969,1 Jan 1990
Beloyarsk,3,SFR,BN-600,Operational,560,1 Jan 1969,1 Nov 1981,
Beloyarsk,4,SFR,BN-800,Operational,789,18 Jul 2006,10 Dec 2015,
Beloyarsk,5,SFR,BN-1200,Planned,1100,,,
Bilibino,1,LWGR,EGP-6,Shut down,11,1 Jan 1970,1 Apr 1974,14 Jan 2019
Bilibino,2,LWGR,EGP-6,Operational,11,1 Jan 1970,1 Feb 1975,
Bilibino,3,LWGR,EGP-6,Operational,11,1 Jan 1970,1 Feb 1976,
Bilibino,4,LWGR,EGP-6,Operational,11,1 Jan 1970,1 Jan 1977,
Kalinin,1,PWR,VVER-1000/V-338,Operational,950,1 Feb 1977,12 Jun 1985,
Kalinin,2,PWR,VVER-1000/V-338,Operational,950,1 Feb 1982,3 Mar 1987,
Kalinin,3,PWR,VVER-1000/V-320,Operational,950,1 Oct 1985,8 Nov 2005,
Kalinin,4,PWR,VVER-1000/V-320,Operational,950,1 Aug 1986,25 Dec 2012,
Kaliningrad,1,PWR,VVER-1200/V-491,Unfinished,1109,22 Feb 2012,,
Kola,1,PWR,VVER-440/V-230,Operational,441,1 May 1970,28 Dec 1973,
Kola,2,PWR,VVER-440/V-230,Operational,441,1 May 1970,21 Feb 1975,
Kola,3,PWR,VVER-440/V-213,Operational,441,1 Apr 1977,3 Dec 1982,
Kola,4,PWR,VVER-440/V-213,Operational,441,1 Aug 1976,6 Dec 1984,
Kola II,1,PWR,VVER-S-600,Planned,600,(2028),(2034),
Kola II,2,PWR,VVER-S-600,Planned,600,(2028),(2034),
Kursk,1,LWGR,RBMK-1000,Shut down,925,1 Jun 1972,12 Oct 1977,19 Dec 2021
Kursk,2,LWGR,RBMK-1000,Shut down,925,1 Jan 1973,17 Aug 1979,31 Jan 2024
Kursk,3,LWGR,RBMK-1000,Operational,925,1 Apr 1978,30 Mar 1984,
Kursk,4,LWGR,RBMK-1000,Operational,925,1 May 1981,5 Feb 1986,
Kursk,5,LWGR,RBMK-1000,Unfinished,925,1985,,
Kursk,6,LWGR,RBMK-1000,Unfinished,925,1985,,
Kursk II,1,PWR,VVER-TOI/V-510,Under construction,1115,29 Apr 2018,(2026),
Kursk II,2,PWR,VVER-TOI/V-510,Under construction,1115,15 Apr 2019,(2027),
Kursk II,3,PWR,VVER-TOI,Planned,1115,,,
Kursk II,4,PWR,VVER-TOI,Planned,1115,,,
Leningrad,1,LWGR,RBMK-1000,Shut down,925,1 Mar 1970,1 Nov 1974,21 Dec 2018
Leningrad,2,LWGR,RBMK-1000,Shut down,925,1 Jun 1970,11 Feb 1976,10 Nov 2020
Leningrad,3,LWGR,RBMK-1000,Operational,925,1 Dec 1973,29 Jun 1980,
Leningrad,4,LWGR,RBMK-1000,Operational,925,1 Feb 1975,29 Aug 1981,
Leningrad II,1,PWR,VVER-1200/V-491,Operational,1085,25 Oct 2008,29 Oct 2018,
Leningrad II,2,PWR,VVER-1200/V-491,Operational,1085,15 Apr 2010,22 Mar 2021,
Leningrad II,3,PWR,VVER-1200,Under construction,1085,14 Mar 2024,(2030),
Leningrad II,4,PWR,VVER-1200,Under construction,1085,21 Mar 2025,(2032),
MPEB No. 1,1,PWR,RITM-200S,Under construction,53,30 Aug 2022,(2027),
MPEB No. 1,2,PWR,RITM-200S,Under construction,53,30 Aug 2022,(2027),
MPEB No. 2,1,PWR,RITM-200S,Planned,53,(2022),(2027),
MPEB No. 2,2,PWR,RITM-200S,Planned,53,(2022),(2027),
MPEB No. 3,1,PWR,RITM-200S,Planned,53,(2022),(2028),
MPEB No. 3,2,PWR,RITM-200S,Planned,53,(2022),(2028),
MPEB No. 4,1,PWR,RITM-200S,Planned,53,(2022),(2031),
MPEB No. 4,2,PWR,RITM-200S,Planned,53,(2022),(2031),
Novovoronezh,1,PWR,VVER/V-210,Shut down,197,1 Jul 1957,31 Dec 1964,16 Feb 1988
Novovoronezh,2,PWR,VVER/V-365,Shut down,336,1 Jun 1964,14 Apr 1970,29 Aug 1990
Novovoronezh,3,PWR,VVER-440/V-179,Shut down,385,1 Jul 1967,29 Jun 1972,25 Dec 2016
Novovoronezh,4,PWR,VVER 440/V-179,Operational,385,1 Jul 1967,24 Mar 1973,
